Name,Handle,URL
MSG,thegarden,https://www.facebook.com/TheGarden/
Webster Hall,webster.hall.nyc,https://www.facebook.com/Webster.Hall.NYC/
Webster Hall Studio,thestudioatwebsterhall,https://www.facebook.com/TheStudioAtWebsterHall/
Terminal 5,terminal5nyc,https://www.facebook.com/terminal5nyc
Barclays Center,barclayscenter,https://www.facebook.com/barclayscenter
Hammerstein Ballroom,,
United Palace Theater,,
Brooklyn Bowl,brooklynbowl,https://www.facebook.com/BrooklynBowl/
The Town Hall,townhallnyc,https://www.facebook.com/TownHallNYC/
Radio City Music Hall,radiocitymusichall,https://www.facebook.com/RadioCityMusicHall/
Bowery Ballroom,boweryballroom,https://www.facebook.com/boweryballroom/
Mercury Lounge,mercuryloungeny,https://www.facebook.com/mercuryloungeNY/
Cake Shop,cakeshopnyc,https://www.facebook.com/cakeshopnyc/
92 St. Y,92YConcerts,https://www.facebook.com/92YConcerts/
Pianos,pianosnyc,https://www.facebook.com/pianosnyc/
City Winery - ONLY SELL DIRECT TICKETS,citywinerynyc,https://www.facebook.com/CityWineryNYC/
Good Room,goodroombk,https://www.facebook.com/GoodRoomBK/
Madison Square Park,madisonsquarepark,https://www.facebook.com/madisonsquarepark/
Central Park,centralparknyc,https://www.facebook.com/centralparknyc/
Summer Stage,summerstagenyc,https://www.facebook.com/SummerStageNYC/
Prospect Park,prospectparkbrooklyn,https://www.facebook.com/ProspectParkBrooklyn/
Apollo Theater,apollotheater,https://www.facebook.com/ApolloTheater/
Beacon Theater,beacontheatre,https://www.facebook.com/beacontheatre/
Carnegie Hall,carnegiehall,https://www.facebook.com/carnegiehall/
Blue Note,bluenotenyc,https://www.facebook.com/BlueNoteNYC/
Jazz Standard,jazzstandard,https://www.facebook.com/JazzStandard/
Iridium Jazz,theiridium,https://www.facebook.com/TheIridium/
Dizzy's Club,dizzysclubcocacola,https://www.facebook.com/DizzysClubCocaCola/
B.B. King's,bbkingbluesnyc,https://www.facebook.com/BBKingBluesNYC/
Output,outputclub,https://www.facebook.com/OutputClub/
NYU Skirball,nyuskirball,https://www.facebook.com/nyuskirball/
Music Hall of Williamsburg,musichallofwb,https://www.facebook.com/musichallofwb/
Knitting Factory,knittingfactorybrooklyn,https://www.facebook.com/knittingfactorybrooklyn/
Jacob Javits Center,javitscenter,https://www.facebook.com/javitscenter/
Smorgasburg,smorgasburg,https://www.facebook.com/smorgasburg/
Brooklyn Bazzar,bkbazaar,https://www.facebook.com/bkbazaar/
Babys all right,babysallright,https://www.facebook.com/babysallright/
Bowery Electric,theboweryelectric,https://www.facebook.com/theboweryelectric/
Verboten,,
Saint Vitus Bar,stvitusbar,https://www.facebook.com/stvitusbar/
Le Poisson Rouge,lprnyc,https://www.facebook.com/lprnyc/
Leftfield Bar on Ludlow,leftfield,https://www.facebook.com/leftfield/
Highline Ballroom,highlineballroom,https://www.facebook.com/highlineballroom/
Irving Plaza,irvingplaza,https://www.facebook.com/IrvingPlaza/
Warsaw,warsawconcerts,https://www.facebook.com/warsawconcerts/
PopGun Presents,popgunpresents,https://www.facebook.com/popgunpresents/
Rough Trade NYC,roughtradenyc,https://www.facebook.com/roughtradenyc/
Gramercy Theatre,gramercytheatre,https://www.facebook.com/gramercytheatre/
Subrosa,subrosanyc,https://www.facebook.com/SubrosaNYC/
Brooklyn Center for the Performing Arts,brooklyncenterfortheperformingarts,https://www.facebook.com/BrooklynCenterforthePerformingArts/
Wicked Willy's,wickedwillysnyc,https://www.facebook.com/WickedWillysNYC/
Maxwell's,maxwellshoboken,https://www.facebook.com/maxwellshoboken/
The Bell House,thebellhouseny,https://www.facebook.com/thebellhouseny/
DROM,dromny,https://www.facebook.com/dromNY/
C'Mon Everybody,cmoneverybodybk,https://www.facebook.com/cmoneverybodybk/
Rooftop films,rooftopfilmsinc,https://www.facebook.com/RooftopFilmsInc/
S.O.B.s,sobsnyc,https://www.facebook.com/SobsNYC/
Black Bear Brooklyn,blackbearbk,https://www.facebook.com/blackbearbk/
The Rock Shop,therockshop,https://www.facebook.com/therockshopbk/
National Sawdust,nationalsawdust,https://www.facebook.com/NationalSawdust/
Shea Stadium,sheastadiumbk,https://www.facebook.com/SheaStadiumBK/
The Cutting Room,cuttingroomnyc,https://www.facebook.com/CuttingRoomNYC/
Silent Barn,silentbarn,https://www.facebook.com/silentbarn/
Lavo,lavony,https://www.facebook.com/lavony/
